testID,key,score
1983169,23936,1
1983169,15474,0
1983169,21926,0
1983169,21965,0
1983169,23970,0
1983169,14976,0
1983169,24055,0
1983169,22140,0
1983169,24039,0
1983169,16644,1
1983169,23921,0
1983169,24007,0
1983169,24009,0
1983169,23937,0
1983169,21338,0
1983169,24049,1
1983169,21952,0
1983169,24041,0
1983169,21273,0
1983169,16642,1
1983169,14866,0
1983169,22000,0
1983169,15570,0
1983169,16709,0
1983169,14721,0
1983169,15437,0
1983169,21601,0
1983169,14636,1
1983169,23978,1
1983169,21320,0
1983169,14494,0
1983169,23994,0
1983169,15251,0
1983169,15380,0
1983169,15194,0
1983169,21464,0
1983169,15542,0
1983169,15002,0
1983169,15314,0
1983169,14609,0
1983169,15198,0
1983169,21970,0
1983169,21900,0
1983169,15284,1
1983169,21898,0
1983169,15543,0
1983169,15179,0
1983169,21973,0
1983169,24004,0
1983169,24085,0
1983169,21972,0
1983169,15568,1
1983169,21984,0
1983169,21698,0
1983169,21976,0
1983169,15433,0
1983169,15396,1
1983169,22011,0
1986770,21929,0
1986770,15474,0
1986770,23934,0
1986770,21327,0
1986770,21946,0
1986770,14976,0
1986770,23939,0
1986770,24035,0
1986770,21963,0
1986770,16644,0
1986770,21299,0
1986770,24010,1
1986770,22141,0
1986770,23944,0
1986770,21982,0
1986770,21373,0
1986770,23946,0
1986770,21344,0
1986770,14542,0
1986770,16642,1
1986770,14866,0
1986770,24051,0
1986770,15570,0
1986770,16709,0
1986770,14721,0
1986770,15437,0
1986770,21601,0
1986770,14636,0
1986770,23978,1
1986770,23989,1
1986770,14494,0
1986770,23994,0
1986770,15251,1
1986770,15380,1
1986770,15194,0
1986770,21464,0
1986770,15542,0
1986770,15002,0
1986770,15314,0
1986770,14609,0
1986770,15198,0
1986770,24021,0
1986770,14972,0
1986770,15284,1
1986770,21898,0
1986770,15543,0
1986770,15179,0
1986770,21973,0
1986770,21342,0
1986770,24005,0
1986770,21949,0
1986770,23933,0
1986770,21984,0
1986770,23947,0
1986770,21303,0
1986770,15433,0
1986770,15396,0
1986770,21266,0
1989084,21921,1
1989084,15474,0
1989084,21295,0
1989084,21935,0
1989084,23930,0
1989084,14976,0
1989084,21313,0
1989084,14811,0
1989084,21963,1
1989084,16644,0
1989084,23940,1
1989084,21931,1
1989084,21975,1
1989084,21298,1
1989084,21330,0
1989084,24069,0
1989084,22143,0
1989084,22016,0
1989084,21332,0
1989084,16642,1
1989084,14866,1
1989084,21471,0
1989084,15570,0
1989084,16709,1
1989084,14721,1
1989084,15437,0
1989084,21601,0
1989084,14636,0
1989084,23978,0
1989084,15591,0
1989084,14494,1
1989084,23994,1
1989084,15251,1
1989084,15380,1
1989084,15194,1
1989084,21464,0
1989084,15542,0
1989084,15002,1
1989084,15314,0
1989084,14609,0
1989084,15198,0
1989084,24037,1
1989084,21265,0
1989084,15284,1
1989084,21898,0
1989084,15543,0
1989084,15179,0
1989084,21964,0
1989084,24008,0
1989084,23925,0
1989084,21911,0
1989084,24047,1
1989084,21984,0
1989084,21318,0
1989084,21976,0
1989084,15433,0
1989084,15396,0
1989084,21297,0
1990742,23936,0
1990742,15474,1
1990742,21926,0
1990742,21965,0
1990742,23970,0
1990742,14976,0
1990742,24055,0
1990742,22140,0
1990742,24039,1
1990742,16644,0
1990742,23921,0
1990742,24007,0
1990742,24009,0
1990742,23937,0
1990742,21338,0
1990742,24049,0
1990742,21952,0
